"","Year","Month","Day","air_temp_5m","rain"
"1",1989,1,1,-7.57916666666667,NA
"2",1990,1,1,-34.9708333333333,NA
"3",1992,1,1,-30.2708333333333,NA
"4",1993,1,1,-10.8625,NA
"5",1994,1,1,-12.775,NA
"6",1995,1,1,-3.02916666666667,NA
"7",1996,1,1,-9.12083333333333,NA
"8",1997,1,1,-29.6916666666667,NA
"9",1998,1,1,-33.4041666666667,NA
"10",1999,1,1,-19.8125,0
"11",2000,1,1,-23.0083333333333,0
"12",2001,1,1,-9.8,NA
"13",2002,1,1,-13.7041666666667,0
"14",2003,1,1,-26.6291666666667,0
"15",2004,1,1,-13.1,0
"16",2005,1,1,-5.79166666666667,0
"17",2006,1,1,-25.1166666666667,NA
"18",2007,1,1,-37.7583333333333,0
"19",2008,1,1,-26.7625,2.28
"20",2009,1,1,-28.50125,0.33
"21",2010,1,1,-22.59,2.95
"22",2011,1,1,-29.9094583333333,NA
"23",2012,1,1,-34.5329166666667,NA
"24",2013,1,1,-13.7129166666667,NA
"25",2014,1,1,-6.246625,0
"26",2015,1,1,-9.20975,0.7
"27",2016,1,1,-5.84458333333333,0
"28",2017,1,1,0.285375,NA
"29",2018,1,1,-23.7175,0.2
"30",2019,1,1,-10.4668333333333,0
"31",2020,1,1,-30.0125,1.7
"32",2021,1,1,-27.8370833333333,0.2
"33",2022,1,1,-39.2679166666667,0
"34",1989,1,10,-24.4,NA
"35",1990,1,10,-32.8625,NA
"36",1992,1,10,-14.8416666666667,NA
"37",1993,1,10,-10.0833333333333,NA
"38",1994,1,10,-37.2208333333333,NA
"39",1995,1,10,-24.175,NA
"40",1996,1,10,-35.5916666666667,NA
"41",1997,1,10,-8.48333333333333,NA
"42",1998,1,10,-11.8916666666667,NA
"43",1999,1,10,-24.2041666666667,0
"44",2000,1,10,-29.8333333333333,0
"45",2001,1,10,-23.3166666666667,NA
"46",2002,1,10,-4.27916666666667,0
"47",2003,1,10,-6.89166666666667,0.254
"48",2004,1,10,-27.1625,0
